Kategorie,Medientyp,Platzierung,Format-Schema,Quelle
[cite_start]Gedruckt,Buch (Monografie),Quellenverzeichnis,"Name(n), Vorname(n): Titel. Untertitel, Ort: Verlag, Jahr (ggf. Auflage).",[cite: 133]
[cite_start]Gedruckt,Buch (Monografie),Fussnote,"Name(n): prägnantes Wort aus dem Titel (Jahr), Seitenangabe.",[cite: 136]
[cite_start]Gedruckt,Sammelband (Ganzes Werk),Quellenverzeichnis,"Name(n), Vorname(n) (Hg.): Titel. Untertitel, Ort: Verlag, Jahr (ggf. Auflage).",[cite: 142]
[cite_start]Gedruckt,Sammelband (Ganzes Werk),Fussnote,"Name(n) (Hg.): prägnantes Wort aus dem Titel (Jahr), Seitenangabe.",[cite: 145]
[cite_start]Gedruckt,Beitrag in Sammelband,Quellenverzeichnis,"Name(n), Vorname(n): Titel des Beitrags. Untertitel, in: Name(n), Vorname(n) (Hg.): Titel. Untertitel, Ort: Verlag, Jahr (ggf. Auflage), Seitenangabe.",[cite: 149]
[cite_start]Gedruckt,Beitrag in Sammelband,Fussnote,"Name(n): prägnantes Wort aus dem Titel (Jahr), Seitenangabe.",[cite: 151]
[cite_start]Gedruckt,Hochschulschrift (unveröffentlicht),Quellenverzeichnis,"Name(n), Vorname(n): Titel. Untertitel. Art der Hochschulschrift. Universität. Ort, Jahr.",[cite: 154]
[cite_start]Gedruckt,Hochschulschrift (unveröffentlicht),Fussnote,"Name(n): prägnantes Wort aus dem Titel (Jahr), Seitenangabe.",[cite: 156]
[cite_start]Gedruckt,Lexikonartikel,Quellenverzeichnis,"Name(n), Vorname(n): Titel des Artikels, in: Name(n), Vorname(n) (Hg.): Titel des Lexikons. Untertitel, Band, Ort: Verlag, Jahr, Seiten- oder Spaltenangabe.",[cite: 160]
[cite_start]Gedruckt,Lexikonartikel,Fussnote,"Name(n): prägnantes Wort aus dem Titel (Jahr), Seitenangabe.",[cite: 164]
[cite_start]Gedruckt,Zeitungsartikel,Quellenverzeichnis,"Name(n), Vorname(n): Titel. Untertitel, in: Name der Zeitung, Erscheinungsdatum – TT.MM.JJJJ, Seitenangabe.",[cite: 166]
[cite_start]Gedruckt,Zeitungsartikel,Fussnote,"Name(n): prägnantes Wort aus dem Titel, Erscheinungsdatum – TT.MM.JJJJ, Seitenangabe.",[cite: 167]
[cite_start]Gedruckt,Zeitschriftenartikel (mit Band/Nr),Quellenverzeichnis,"Name(n), Vorname(n): Titel. Untertitel, in: Titel der Zeitschrift Band, Nummer (Jahr), Seitenangabe.",[cite: 172]
[cite_start]Gedruckt,Zeitschriftenartikel (mit Band/Nr),Fussnote,"Name(n): prägnantes Wort aus dem Titel (Jahr), Seitenangabe.",[cite: 174]
[cite_start]Gedruckt,Zeitschriftenartikel (nur Nummer),Quellenverzeichnis,"Name(n), Vorname(n): Titel. Untertitel, in: Titel der Zeitschrift, Nummer (Jahr), Seitenangabe.",[cite: 175]
[cite_start]Digital,Webquelle (mit Autor),Quellenverzeichnis,"Name(n), Vorname(n): Titel. Untertitel, Veröffentlichungsdatum – TT.MM.JJJJ. URL, abgerufen am TT.MM.JJJJ.",[cite: 184]
[cite_start]Digital,Webquelle (mit Autor),Fussnote,"Name(n): prägnantes Wort aus dem Titel, Veröffentlichungsdatum – TT.MM.JJJJ.",[cite: 186]
[cite_start]Digital,Webquelle (ohne Autor),Quellenverzeichnis,"Titel des Eintrages, in: Name der Website, Veröffentlichungsdatum – TT.MM.JJJJ. URL, abgerufen am TT.MM.JJJJ.",[cite: 188]
[cite_start]Digital,Webquelle (ohne Autor),Fussnote,"Titel des Eintrages, in: Name der Website, Veröffentlichungsdatum – TT.MM.JJJJ.",[cite: 190]
[cite_start]Digital,Medienartikel im Web,Quellenverzeichnis,"Name(n), Vorname(n): Titel. Untertitel, in: Name der Publikation, Veröffentlichungsdatum – TT.MM.JJJJ. URL, abgerufen am TT.MM.JJJJ.",[cite: 191]
[cite_start]Digital,Medienartikel im Web,Fussnote,"Name(n): prägnantes Wort aus dem Titel, Veröffentlichungsdatum – TT.MM.JJJJ.",[cite: 193]
[cite_start]Digital,E-Book (Datei),Quellenverzeichnis,"Name(n), Vorname(n): Titel. Untertitel (E-Book), Ort: Verlag, Jahr (ggf. Auflage). ISBN/DOI/Identifikationsnummer.",[cite: 198]
[cite_start]Digital,E-Book (Web),Quellenverzeichnis,"Name(n), Vorname(n): Titel. Untertitel (E-Book), Ort: Verlag, Jahr. URL, abgerufen am TT.MM.JJJJ.",[cite: 201]
[cite_start]Digital,E-Book (Alle),Fussnote,"Name(n): prägnantes Wort aus dem Titel (Jahr), Seitenangabe/Absatz oder Kapitel.",[cite: 200]
[cite_start]Digital,Blog,Quellenverzeichnis,"Name(n), Vorname(n): Artikeltitel, in: Blogname, Veröffentlichungsdatum - TT.MM.JJJJ. URL, abgerufen am TT.MM.JJJJ.",[cite: 206]
[cite_start]Digital,Blog,Fussnote,"Name(n): prägnantes Wort aus dem Titel, Veröffentlichungsdatum – TT.MM.JJJJ.",[cite: 208]
[cite_start]Digital,Social Media (Post),Quellenverzeichnis,"Name(n), Vorname(n) [Account Name]: Titel, Social-Media-Plattform, Veröffentlichungsdatum – TT.MM.JJJJ. URL, abgerufen am TT.MM.JJJJ.",[cite: 210]
[cite_start]Digital,Social Media (Post),Fussnote,"Name(n): prägnantes Wort aus dem Titel, Veröffentlichungsdatum – TT.MM.JJJJ.",[cite: 212]
[cite_start]Digital,Artikel in Online-Lexikon,Quellenverzeichnis,"Name(n), Vorname(n): Titel. Untertitel, in: Lexikontitel, Veröffentlichungsdatum – TT.MM.JJJJ. URL, abgerufen am TT.MM.JJJJ.",[cite: 216]
[cite_start]Digital,Artikel in Online-Lexikon,Fussnote,"Name(n): Prägnantes Wort aus dem Titel, Veröffentlichungsdatum – TT.MM.JJJJ.",[cite: 218]
[cite_start]Digital,KI (ChatGPT & Co.),Quellenverzeichnis,"Name der KI (Version): «Prompt», Datum der Kommunikation – TT.MM.JJJJ. Art der Übernahme.",[cite: 222]
[cite_start]Digital,KI (ChatGPT & Co.),Fussnote,"Name der KI: «Prompt», Datum der Kommunikation – TT.MM.JJJJ.",[cite: 226]
[cite_start]Abbildungen,Fotografie,Abbildungsverzeichnis,"Abb. Nr.: Beschreibung oder Titel der Fotografie. Ort der Aufnahme. Aufnahme von Vorname(n) Name(n) des Fotografen. Ort, Datum der Aufnahme – TT.MM.JJJJ.",[cite: 251]
[cite_start]Abbildungen,Fotografie,Bildunterschrift,"Abb. Nr.: Beschreibung oder Titel der Fotografie. Ort der Aufnahme, Datum der Aufnahme – TT.MM.JJJJ.",[cite: 253]
[cite_start]Abbildungen,Fotografie (Agentur),Abbildungsverzeichnis,"Abb. Nr.: Name(n), Vornamen(n) des Fotografen: Titel oder Beschreibung des Bildes. Agentur Bildidentifikationsnummer, Aufnahmedatum – TT.MM.JJJJ.",[cite: 256]
[cite_start]Abbildungen,Fotografie (Agentur),Bildunterschrift,"Abb. Nr.: Titel oder Beschreibung des Bildes. Name(n) des Fotografen, Aufnahmedatum – TT.MM.JJJJ.",[cite: 258]
